Tarih,Yeni Test,Yeni Hasta,Yeni Hastane Yatışı,Yeni Entübe,Yeni Taburcu


30.07.2020,42.993,968,516,51,506
31.07.2020,46.225,981,487,40,476
01.08.2020,45.033,997,483,33,468
02.08.2020,40.196,986,512,45,437
03.08.2020,41.483,993,526,42,446
04.08.2020,46.395,1.082,567,61,425
05.08.2020,53.603,1.179,590,53,483
06.08.2020,54.433,1.154,577,44,494
07.08.2020,56.355,1.184,563,51,468
08.08.2020,64.141,1.174,576,46,486
09.08.2020,61.510,1.182,550,52,492
10.08.2020,62.354,1.192,586,51,483
11.08.2020,61.686,1.183,493,64,519
12.08.2020,67.941,1.211,446,65,479
13.08.2020,66.378,1.243,463,58,477
14.08.2020,70.224,1.227,472,48,461
15.08.2020,66.949,1.257,477,56,420
16.08.2020,65.904,1.192,470,52,394
17.08.2020,74.949,1.233,489,72,452
18.08.2020,82.223,1.262,468,75,457
19.08.2020,87.676,1.302,458,67,471
20.08.2020,92.175,1.413,486,82,413
21.08.2020,92.366,1.204,489,86,442
22.08.2020,92.766,1.310,518,71,423
23.08.2020,80.134,1.216,488,64,444
24.08.2020,96.102,1.443,547,81,436
25.08.2020,98.179,1.503,589,93,425
26.08.2020,100.227,1.312,552,84,460
27.08.2020,105.988,1.492,549,71,424
28.08.2020,107.780,1.516,540,67,435
29.08.2020,101.374,1.548,575,64,458
30.08.2020,91.292,1.483,534,61,425
31.08.2020,111.227,1.586,594,82,449
01.09.2020,109.824,1.572,584,78,516
02.09.2020,107.816,1.597,573,93,483
03.09.2020,109.926,1.641,588,87,433
04.09.2020,116.694,1.612,605,90,456
05.09.2020,99.179,1.674,617,71,469
06.09.2020,96.578,1.577,584,79,486
07.09.2020,104.325,1.704,595,94,440
08.09.2020,110.615,1.762,582,80,465
09.09.2020,110.924,1.672,615,87,451
10.09.2020,108.024,1.513,598,79,505
11.09.2020,111.846,1.670,641,85,465
12.09.2020,98.375,1.509,619,92,486
13.09.2020,95.879,1.526,595,77,462
14.09.2020,112.906,1.717,627,93,446
15.09.2020,110.298,1.741,634,87,471
16.09.2020,112.169,1.772,651,92,454
17.09.2020,110.302,1.647,624,84,486
18.09.2020,110.951,1.772,641,82,460
19.09.2020,97.554,1.537,596,78,485
20.09.2020,95.297,1.519,520,72,443
21.09.2020,112.855,1.742,518,96,470
22.09.2020,114.687,1.693,525,91,502
23.09.2020,111.907,1.767,545,94,536
24.09.2020,117.498,1.720,527,87,450
25.09.2020,110.054,1.666,511,91,443
26.09.2020,101.114,1.511,499,83,471
27.09.2020,100.678,1.467,487,77,480
28.09.2020,115.686,1.412,520,78,485
29.09.2020,114.820,1.426,508,84,496
30.09.2020,112.116,1.392,490,79,494
01.10.2020,113.609,1.407,482,72,506
02.10.2020,114.709,1.442,488,79,466
03.10.2020,103.321,1.502,463,68,460
04.10.2020,104.378,1.428,463,71,454
05.10.2020,115.671,1.603,460,62,442
06.10.2020,112.974,1.510,465,73,450
07.10.2020,116.375,1.580,486,69,452
08.10.2020,117.879,1.615,491,68,462
09.10.2020,114.887,1.628,485,79,444
10.10.2020,112.754,1.649,478,65,428
11.10.2020,109.175,1.503,504,73,403
12.10.2020,115.854,1.615,486,78,400
13.10.2020,114.868,1.632,482,83,394
14.10.2020,115.398,1.671,512,71,419
15.10.2020,115.917,1.692,525,75,404
16.10.2020,117.360,1.811,551,88,387
17.10.2020,112.090,1.723,537,74,391
18.10.2020,101.139,1.816,506,63,406
19.10.2020,116.410,2.026,543,76,413
20.10.2020,116.489,1.895,552,84,433
21.10.2020,118.232,2.013,571,91,425
22.10.2020,116.974,2.101,601,89,455
23.10.2020,116.028,2.165,644,91,457
24.10.2020,113.259,2.091,634,94,473
25.10.2020,112.247,2.016,621,81,483
26.10.2020,133.172,2.198,622,93,445
27.10.2020,127.573,2.210,643,92,485
28.10.2020,128.457,2.304,649,96,474
29.10.2020,134.318,2.319,664,89,492
30.10.2020,136.671,2.321,687,87,532
31.10.2020,123.965,2.214,679,94,547
01.11.2020,123.242,2.106,651,89,532
02.11.2020,139.546,2.302,675,99,504
03.11.2020,146.176,2.344,711,97,517
04.11.2020,144.483,2.390,723,106,513
05.11.2020,145.904,2.311,711,109,506
06.11.2020,145.158,2.436,753,111,539
07.11.2020,139.855,2.483,738,103,517
08.11.2020,141.723,2.516,733,106,504
09.11.2020,145.746,2.576,749,111,514
10.11.2020,146.287,2.528,761,116,539
11.11.2020,146.111,2.693,742,119,530
12.11.2020,148.369,2.842,769,125,548
13.11.2020,150.023,3.045,772,117,581
14.11.2020,149.894,3.115,753,106,584
15.11.2020,142.478,3.224,729,98,575
16.11.2020,151.741,3.316,727,115,591
17.11.2020,157.013,3.820,795,118,595
18.11.2020,158.529,4.216,789,123,612
20.11.2020,156.403,5.103,807,133,638
21.11.2020,152.078,5.532,797,121,644
22.11.2020,155.785,6.016,754,106,575
23.11.2020,161.186,6.713,811,129,613
